ID,Data_Quality,UFP,Year,IS,OT,AG,AT,DT,DP,LT,PPL,CA,FS,RS,N_effort_level1,N_effort,S_effort,N_PDR1,N_PDR,SDR,PET,PIT,I_Date,PAS,E_Plan,E_Specify,E_Design,E_Build,E_Test,E_Implement,E_Unrecorded,Recording_Method,Resource_Level,TSG,MTS,ATS,R_PWE_NPA,CASE_Tool,UM,HMA,Hardware1,Language1,OS1,IDE,DT1,DBS1,CS1,WS1,MS1,OP1,Dev_Methodologies,Dev_Techniques,JAD_Method,PMU,FPS,FPSA,Architecture,Client_Server?,Client_Roles,Server_Roles,TOS,CS_Description,DBMS_Used,Upper_CASE_Used,Other_CASE_Tools?,Other_CASE_Tool_Names,MIN_Defects,MAJ_Defects,X_Defects,TOT_Defects,P_Defects,S_Defects,D_Defects,MIN_B_Defects,MAJ_B_Defects,X_B_Defects,TOT_B_Defects,MIN_T_Defects,MAJ_T_Defects,X_T_Defects,TOT_T_Defects,MIN_I_Defects,MAJ_I_Defects,X_I_Defects,TOT_I_Defects
24302.0,B,,2007.0,Banking,Banking,Business Application,Financial transaction process/accounting,New Development,MF,3GL,Java,COSMIC,52.0,S,1305.0,1305.0,1188.0,25.1,25.1,,11.9,,05-Apr-2007,,,0.0,46.0,545.0,597.0,0.0,0.0,Staff hours (recorded),1.0,,,,,,,,,Java,UNIX/AIX,,,,,,,,,,,,COSMIC 3.0,COSMIC 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25081.0,A,,2007.0,Banking,Banking,Business Application,Financial transaction process/accounting,New Development,PC,3GL,C++,COSMIC,237.0,M1,600.0,600.0,600.0,4.4,4.4,9.0,3.0,,10-Apr-2009,Planning_Specification_Design_Build_Test_Implement_ProjManagement,67.0,47.0,97.0,143.0,66.0,180.0,0.0,Recorded work on project tasks each day,1.0,5-8,5.0,4.8,,,Yes,Developed In-house,,Java,Windows,Eclipse,Eclipse,MySQL,,Apache Tomcat 6.0.14,,In House Framework (written in Java),Agile DevelopmentPersonal Software Process (PSP)Unified Process,,,,COSMIC 2,COSMIC 2,Multi-tier with web public interface,Yes,Web/HTML browser,Security/authentication,,,Yes,,,,,,,,,,,,,,,,,,,,,,
28884.0,A,,2007.0,Government,Government,Business Application,Management or performance reporting,New Development,Multi,4GL,Oracle,COSMIC,1570.0,L,35426.0,35426.0,15233.0,34.3,34.3,,15.0,,13-Sep-2007,,,,,15233.0,,,0.0,Staff hours (recorded),1.0,,,,,,,,,C#.Net,Web client,,,,,,,,,,,,COSMIC 2.2,COSMIC 2.2,Client server,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
29310.0,A,,2007.0,Government,GovernmentHealth Sciences,Business Application,Stock control & order processing,New Development,PC,4GL,ASP.Net,COSMIC,441.0,M2,47493.0,47493.0,47493.0,23.7,23.7,2.9,10.0,0.0,06-Sep-2008,Planning_Specification_Design_Build_Test_Implement,6893.0,3784.0,8766.0,16985.0,5050.0,5995.0,20.0,Recorded work on project tasks each day,1.0,61-70,68.0,33.3,80%,Yes,Yes,Developed In-house,,Java 2 EE,Windows XP,EclipseRational ClearCaseLuntBuildInhouse developed,Eclipse,Oracle,WebSphere,WebSphere,Tibco BusinessWorks,Rules engine: Ilog Jrules,Agile DevelopmentJoint Application Development (JAD)Multifunctional Teams,Data ModellingPrototyping,Yes,Yes,COSMIC 3.0,COSMIC 3.0,Client server,Yes,Run a computer-human interfaceData entry & validationData retrieval & presentationWeb/HTML browser,Database serverFTP serverHTML/web serverMessaging serverObject/component serverSecurity/authenticationBusiness logic + Integration to 30 other systems,,,Yes,Yes,Yes,MagicDraw UML,,,,0.0,,,0.0,,,,30.0,,,,30.0,,,,30.0
29604.0,A,,2007.0,Insurance,Insurance,Business Application,Financial transaction process/accounting,Enhancement,PC,4GL,ASP.Net,COSMIC,74.0,S,2707.0,2707.0,1597.0,6.1,6.1,,5.0,,23-Apr-2007,,,,,1276.0,321.0,,0.0,Staff hours (recorded),1.0,,,,,,,,,C#.Net,Web client,,,,,,,,,,,,COSMIC 2.2,COSMIC 2.2,Stand alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30611.0,B,,2007.0,Manufacturing,DefenceAerospace / Automotive,Business Application,Change Management Tool,New Development,,3GL,Java,COSMIC,110.0,M1,10147.0,10147.0,9234.0,25.1,25.1,,,,20-Jan-2006,,,0.0,1107.0,6004.0,1774.0,349.0,0.0,Staff hours (recorded),1.0,,,,,,,,,COBOL,IBM/zOS,,,,,,,,,,,,COSMIC 3.0,COSMIC 3.0,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,22.0,,,,
31240.0,B,,2007.0,Medical & Health Care,Medical and Health Care,Business Application,Catalogue/register of things or events,New Development,Multi,3GL,C#,COSMIC,733.0,M2,3242.0,3242.0,2950.0,51.5,51.5,,,,26-Jan-2005,,,0.0,600.0,850.0,1000.0,500.0,0.0,Staff hours (recorded),1.0,,,,,,,,,Java,Windows,,,,,,,,,,,,COSMIC 3.0,COSMIC 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31397.0,B,,2007.0,Professional Services,Professional Services,Business Application,Catalogue/register of things or events,New Development,Multi,3GL,Java,COSMIC,205.0,M1,11165.0,11165.0,11165.0,38.0,38.0,0.9,15.0,0.0,31-May-2004,Planning_Specification_Design_Build_Test_Implement,,,,,,,11165.0,Recorded work on project tasks each day,1.0,21-30,21.0,,80%,No,Yes,Developed In-house,,VB6,Windows XP ProWindows 2000,Visual Studio 6.0,No,SQL Server,Component,IIS,No,,,,Yes,,COSMIC 2.2,COSMIC 2.2,Client server,Yes,,,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,
25271.0,B,,2008.0,Banking,Banking,Business Application,Financial transaction process/accounting,Enhancement,PC,4GL,.Net,COSMIC,60.0,S,21665.0,22444.0,22444.0,19.8,20.5,7.4,2.0,0.0,09-Mar-2006,Planning_Specification_Design_Build_Test_Implement,2036.0,3054.0,1763.0,9447.0,4479.0,886.0,0.0,Recorded work on project tasks each day,4.0,71-80,74.0,12.3,,,,,,Oracle eBS,Windows Server,Oracle eBS,,Oracle,,,,,,,,,COSMIC 2.2,COSMIC 2.2,Stand alone,,,,,,Yes,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
27553.0,B,,2008.0,Communication,general public (mobile phone end user),Business Application,Instant Messaging client,New Development,PC,3GL,Java,COSMIC,98.0,S,19306.0,19306.0,19306.0,48.5,48.5,1.3,10.0,0.0,06-Apr-2006,Planning_Specification_Design_Build_Test_Implement,,,,,,,19306.0,Recorded total hours each day or week,1.0,21-30,30.0,,,No,Yes,Developed In-house,,COBOL,Z-OS,TSO,No,IDMS-DB,IDMS-DC,No,In house,,,,Yes,,COSMIC 2.2,COSMIC 2.2,Client server,Yes,,,,,Yes,No,No,,,,,0.0,,0.0,14.0,,,,23.0,,,,34.0,,,,
